#;详细描述;Detailed description;Ətraflı təsviri;Malgöndərən/podratçının qeydləri;Part Number;Ad eng;Ad chn;Category;Factory Adress;iSTEHSALCI OLKE;Condition;Quality;Car Brand;Car marka;Part Year
2024;更换水温传感器，包括备件;Replacement of water temperature sensor, including spare part;Su temperaturu sensorunun (datçikinin) əvəz olunması, ehtiyat hissəsi ilə birlikdə;1308A12 .Çin, Original;1308A12;Coolant temperature sensor;冷却液温度传感器;Engine / Sensors;;China;New;Original;;;
2025;更换上部水暖散热器管道，包括备件;Replacement of the upper water radiator pipe, including spare part;Su radiatorunun üst borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;1370A126 .Çin, Original;1370A126;Upper radiator hose;散热器上水管;Engine / Cooling System;;China;New;Original;;;
2026;更换下部散热器管道，包括备件;Replacement of the lower radiator pipe, including spare part;Su radiatorunun alt borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;MN135045 .Çin, Original;MN135045;Lower radiator hose;散热器下水管;Engine / Cooling System;;China;New;Original;;;
2027;更换供暖炉管道（软管），包括备件;Replacement of the heating furnace pipe (hose), including spare part;İstilik peçinin borusunun (şlanqının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;MB380850 .Çin, Original;MB380850;Heater hose;暖风水管;Cooling / Heating System;;China;New;Original;;;
2028;冲洗燃油喷射器;Flushing fuel injectors;Yanacaq forsunkalarının yuyulması;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
2029;更换水泵，包括一个新的水泵和一个备用零件。;Replacing the water pump with a new one, along with a spare part;Su nasosunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1300A140 .Çin, Original;1300A140;Water pump;水泵;Engine / Cooling System;;China;New;Original;;;
2030;燃油泵更换，包括备件;Fuel pump replacement, including spare part;Yanacaq nasosunun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;1718A111 .Çin, Original;1718A111;Fuel pump;燃油泵;Fuel System;;China;New;Original;;;
2031;更换起动机，包括一个新的和备用的零件。;Replacing the starter with a new one, along with a spare part;Starterin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1810A331 .Çin, Original;1810A331;Starter motor;起动机;Engine / Starter;;China;New;Original;;;
2032;拆卸和维修起动传动装置（包括备件）;Dismantling and repairing the starter transmission (bendex), including spare parts;Starter intiqalının (bendeksinin) sökülüb təmir olunması, ehtiyat hissəsi ilə birlikdə;MD618963 .Çin, Original;MD618963;Starter drive;起动机单向器;Engine / Starter;;China;New;Original;;;
2033;更换启动开关（自动），包括备件;Replacement of starter switch (automatic), including spare part;Starter qoşucusunun (avtomatının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;ME753349 .Çin, Original;ME753349;Starter solenoid;起动机电磁开关;Engine / Starter;;China;New;Original;;;
2034;启动器碳罐更换，含备件;Starter carbon replacement, with spare part;Starter kömürünün dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə ;ME700140 .Çin, Original;ME700140;Starter brush;起动机碳刷;Engine / Starter;;China;New;Original;;;
2035;启动锚更换，包括备件;Starter anchor replacement, including spare part;Starter lövbərinin (yakorunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə; MD618958.Çin, Original;MD618958;Starter coil;起动机绕组;Engine / Starter;;China;New;Original;;;
2036;更换发电机，包括新的发电机和备用零件。;Replacement of the dynamo with a new one, along with spare parts;Dinamonun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1800A410 .Çin, Original;1800A410;Alternator;发电机;Engine / Alternator;;China;New;Original;;;
2037;更换发电机继电器，包括备件;Replacement of the dynamo relay, including spare part;Dinamo relesinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;1800A380 .Çin, Original;1800A380;Alternator relay;发电机继电器;Engine / Alternator;;China;New;Original;;;
2038;更换发电机电枢（绕组），包括备件;Replacement of the dynamo armature (winding), including spare part;Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;MD632040 .Çin, Original;MD632040;Alternator winding;发电机绕组;Engine / Alternator;;China;New;Original;;;
2039;发电机皮带更换，含备件;Dynamo belt replacement, with spare part;Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4451A147 .Çin, Original;4451A147;Alternator belt;发电机皮带;Engine / Belts;;China;New;Original;;;
2040;更换挡风玻璃雨刮电机，包括备件。;Replacing the windshield wiper motor with a new one, including spare parts;Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8250B259 .Çin, Original;8250B259;Windshield wiper motor;雨刷电机;Accessories / Wipers;;China;New;Original;;;
2041;更换雨刮片，包括备用零件。;Replacing the wiper blades with new ones, including spare parts;Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8250A780 .Çin, Original;8250A780;Windshield wiper blade;雨刷片;Accessories / Wipers;;China;New;Original;;;
2042;更换制动主缸，包括备件;Master brake cylinder replacement, including spare part;Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4625A417 .Çin, Original;4625A417;Master cylinder;主缸;Braking System;;China;New;Original;;;
2043;离合器缸更换，包括备件;Clutch cylinder replacement, including spare part;Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2345A015 .Çin, Original;2345A015;Clutch cylinder;离合器液压缸;Clutch System;;China;New;Original;;;
2044;更换挡风玻璃（底玻璃）;Replacing the windshield (underglaze) with a new one;Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması;3102A580 .Çin, Original;3102A580;Front windshield;前挡风玻璃;Body / Glass;;China;New;Original;;;
2045;更换左前内挡泥板，使用新的内挡泥板，并附上备件。;Replacement of the front left inner fender with a new one, along with the spare part;Ön sol iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;0414-KB4A47L .Çin, Original;0414-KB4A47L;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
2046;更换左前外壳，包括备用零件。;Replacement of the front left outer shell with a new one, including a spare part;Ön sol çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;MN107605 .Çin, Original;MN107605;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
2047;更换右前外壳，包括备用零件。;Replacement of the front right outer shell with a new one, including a spare part;Ön sağ çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3815A181 .Çin, Original;3815A181;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
2048;更换右前内挡泥板，包括备用零件。;Replacement of the front right inner fender with a new one, including the spare part;Ön sağ iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3815A182 .Çin, Original;3815A182;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
2049;更换压力盘（杯状物），包括备件。;Replacing the pressure disc (cup) with a new one, including spare parts;Sıxıcı disk (çaşka) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;MN171120 .Çin, Original;MN171120;Clutch pressure plate;离合器压盘;Clutch System;;China;New;Original;;;
2050;用新的圆盘（feredo）替换磨损的圆盘，并附上备用零件。;Replacing the worn disc (feredo) with a new one, along with a spare part;Aparılan disk (feredo) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2301A096 .Çin, Original;2301A096;Clutch disc;离合器摩擦片;Clutch System;;China;New;Original;;;
2051;更换离合器及离合器片（vizhimnoy），包括新的离合器片和备件。;Replacement of the clutch with the clutch pad (vizhimnoy) with a new one, along with the spare part;Sıxıcı mufta yastığı ilə birlikdə (vıjimnoy) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;MD719469 .Çin, Original;MD719469;Clutch release bearing;离合器分离轴承;Clutch System;;China;New;Original;;;
2052;更换万向轴横梁，包括备件。;Replacement of the cardan shaft cross member with a new one, including spare parts;Kardan valının çarpazının (krestovinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;37138W010P .Çin, Original;37138W010P;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;;China;New;Original;;;
2053;更换右上臂，包括备件;Replacement of the upper right arm, including spare part;Üst sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4013A333 .Çin, Original;4013A333;Upper right control arm;右上控制臂;Suspension;;China;New;Original;;;
2054;更换左上臂，包括备件;Replacement of the upper left arm, including spare part;Üst sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4013A332 .Çin, Original;4013A332;Upper left control arm;左上控制臂;Suspension;;China;New;Original;;;
2055;更换前驱动轴，包括备件。;Replacing the front driveshaft with a new one, including spare parts;Ön kardan valının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;340113041. .Çin, Original;340113041;Front driveshaft;前传动轴;Drivetrain;;China;New;Original;;;
2056;更换中间万向轴，包括备件。;Replacement of the intermediate cardan shaft with a new one, including spare parts;Aralıq kardan valının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;340113258. .Çin, Original;340113258;Center driveshaft;中间传动轴;Drivetrain;;China;New;Original;;;
2057;更换后驱动轴（含备件）;Replacement of the rear drive shaft with a new one, including spare parts;Arxa kardan valının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3401B258 .Çin, Original;3401B258;Rear driveshaft;后传动轴;Drivetrain;;China;New;Original;;;
2058;发动机机油，包括更换;Engine oil, including change;Mühərrik yağı, dəyişilməsi ilə birlikdə;15x40 Bendix Türkiyə;15x40;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
2059;发动机机油滤清器;Engine oil filter;Mühərrik yağ filtri;15208312100. .Çin, Original;15208312100;Oil filter;机油滤清器;Engine;;China;New;Original;;;
2060;冷却液（防冻液），包括更换;Coolant (antifreeze), including replacement;Soyutma mayesi (antifriz), dəyişdirilməsi ilə birlikdə;Antifreeze -56 3L Bendix, Türkiyə.;Antifreeze -56 3L;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
2061;变速箱油，包括更换;Gearbox oil, including change;Sürətlər qutusunun yağı, dəyişilməsi ilə birlikdə;ATF DSG  Bendix, Türkiyə.;ATF DSG;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
2062;更换燃油滤清器，使用新的滤清器和备用零件。;Replacing the fuel filter with a new one, along with a spare part;Yanacaq süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1770A337 .Çin, Original;1770A337;Fuel filter;燃油滤清器;Fuel System;;China;New;Original;;;
2063;更换空气滤清器，包括一个新的和备用的。;Replacing the air filter with a new one, along with a spare part;Hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1500A608 .Çin, Original;1500A608;Air filter;空气滤清器;Engine;;China;New;Original;;;
2064;更换火花塞时，使用新的火花塞和备用零件。;Replacing the spark plug with a new one, along with the spare part;Alışdırma şamının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1820A019 .Çin, Original;1820A019;Spark plug;火花塞;Engine;;China;New;Original;;;
2065;用新灯泡替换旧灯泡，同时使用备用零件。;Replacing the bulb with a new one, along with the spare part;Babinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;MB362907 .Çin, Original;MB362907;Ignition coil;点火线圈;Engine;;China;New;Original;;;
2066;更换发动机皮带（链条），使用新的皮带和备用零件。;Replacing the engine belt (chain) with a new one, along with a spare part;Mühərrik qayışının (zəncirinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;6PK1495 .Çin, Original;6PK1495;Engine timing chain;发动机正时链条;Engine;;China;New;Original;;;
2067;更换发动机支架，使用新的支架和备件。;Replacing the engine mount with a new one, along with the spare part;Mühərrik yastığının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;MR910557 .Çin, Original;MR910557;Engine mount;发动机支架;Engine;;China;New;Original;;;
2068;更换前刹车片（含备件）;Replacement of front brake pads with new ones, including spare parts;Ön əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4605A198 .Çin, Original;4605A198;Front brake caliper;前制动卡钳;Brake System;;China;New;Original;;;
2069;更换后刹车片（含备件）;Replacement of rear brake pads with new ones, including spare parts;Arxa əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4600A122 .Çin, Original;4600A122;Rear brake caliper;后制动卡钳;Brake System;;China;New;Original;;;
2070;更换冰箱（空调）的空气过滤器，包括更换新的过滤器和备用零件。;Replacing the air filter of the refrigerator (air conditioner) with a new one, along with a spare part;Soyuducunun (kondisionerin) hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;7803A112 .Çin, Original;7803A112;Air conditioning air filter;空调空气滤清器;Air Conditioning;;China;New;Original;;;
2071;更换冰箱（空调）压缩机，包括更换新压缩机和备件。;Replacement of the refrigerator (air conditioner) compressor with a new one, including spare parts;Soyuducunun (kondisionerin) kompressorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;7813A673 .Çin, Original;7813A673;Air conditioning compressor;空调压缩机;Air Conditioning;;China;New;Original;;;
2072;冰箱（空调）制冷剂（氟利昂）的填充量（克）;Filling of refrigerator (air conditioner) gas (freon) in grams;Soyuducunun (kondisionerin) qazının (freonun) qramla doldurulması;R134A  Xidmət.;R134A Xidmət;Air conditioning refrigerant (Freon);制冷剂;Air Conditioning;;China;New;Original;;;
2073;更换前减震器，包括备件。;Replacement of the front shock absorber with a new one, including the spare part;Ön amortizatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4062A099 .Çin, Original;4062A099;Front shock absorber;前减震器;Suspension;;China;New;Original;;;
2074;更换后减震器，包括备件。;Replacement of the rear shock absorber with a new one, including the spare part;Arxa amortizatorun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4162A289 .Çin, Original;4162A289;Rear shock absorber;后减震器;Suspension;;China;New;Original;;;
2075;更换前减震器，包括备件;Replacement of the front shock absorber with a new one, including spare parts;Ön amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;4062A099 .Çin, Original;4062A099;Front shock absorber mount;前减震器胶垫;Suspension;;China;New;Original;;;
2076;车轮定位调整（外倾角）;Wheel alignment adjustment (camber);Təkər çəpliyinin tənzimlənməsi (razval);XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
2077;诊断;Diagnostics;Diaqnostika;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
2078;更换凸轮轴位置传感器，包括备件。;Replacing the camshaft sensor with a new one, including spare parts;Paylayıcı valın (raspredvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1865A126 .Çin, Original;1865A126;Camshaft;凸轮轴;Engine / Internal Parts;;China;New;Original;;;
2079;更换曲轴位置传感器，使用新的传感器和备件。;Replacing the crankshaft sensor with a new one, along with the spare part;Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1865A126 .Çin, Original;1865A126;Crankshaft;曲轴;Engine / Internal Parts;;China;New;Original;;;
2080;更换催化转化器传感器，包括备用零件。;Replacement of the catalyst sensor with a new one, along with the spare part;Katalizator sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1588A656 .Çin, Original;1588A656;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;;China;New;Original;;;
2081;更换雨刮片，包括备用零件。;Replacing the wiper blades with new ones, including spare parts;Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;339 7118912.Çin, Original;339 7118912;Windshield wiper blade;雨刷片;Accessories / Wipers;;China;New;Original;;;
2082;更换制动主缸，包括备件;Master brake cylinder replacement, including spare part;Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;58510G8180 .Çin, Original;58510G8180;Master cylinder;主缸;Braking System;;China;New;Original;;;
2083;离合器缸更换，包括备件;Clutch cylinder replacement, including spare part;Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;22365-20002.Çin, Original;22365-20002;Clutch cylinder;离合器液压缸;Clutch System;;China;New;Original;;;
2084;更换挡风玻璃（底玻璃）;Replacing the windshield (underglaze) with a new one;Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması;86110G8160 .Çin, Original;86110G8160;Front windshield;前挡风玻璃;Body / Glass;;China;New;Original;;;
2085;更换后减震器垫片（含备件）;Replacement of the rear shock absorber pad with a new one, including spare parts;Arxa amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;55330A8800 .Çin, Original;55330A8800;Rear shock absorber mount;后减震器胶垫;Suspension;;China;New;Original;;;
2086;更换左前内挡泥板，使用新的内挡泥板，并附上备件。;Replacement of the front left inner fender with a new one, along with the spare part;Ön sol iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;49582C1300 .Çin, Original;49582C1300;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
2087;更换左前外壳，包括备用零件。;Replacement of the front left outer shell with a new one, including a spare part;Ön sol çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;49580G8150 .Çin, Original;49580G8150;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
2088;更换右前外壳，包括备用零件。;Replacement of the front right outer shell with a new one, including a spare part;Ön sağ çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;49580G8150 .Çin, Original;49580G8150;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
2089;更换右前内挡泥板，包括备用零件。;Replacement of the front right inner fender with a new one, including the spare part;Ön sağ iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;49582C1300 .Çin, Original;49582C1300;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
2090;更换万向轴横梁，包括备件。;Replacement of the cardan shaft cross member with a new one, including spare parts;Kardan valının çarpazının (krestovinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;49140-4A000.Çin, Original;49140-4A000;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;;China;New;Original;;;
2091;发动机机油，包括更换;Engine oil, including change;Mühərrik yağı, dəyişilməsi ilə birlikdə;5x30 Bendix Türkiyə.;5x30;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
2092;发动机机油滤清器;Engine oil filter;Mühərrik yağ filtri;2630035504. .Çin, Original;2630035504;Oil filter;机油滤清器;Engine;;China;New;Original;;;
2093;冷却液（防冻液），包括更换;Coolant (antifreeze), including replacement;Soyutma mayesi (antifriz), dəyişdirilməsi ilə birlikdə;Antifreeze -56 3L Bendix, Türkiyə.;Antifreeze -56 3L;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
2094;变速箱油，包括更换;Gearbox oil, including change;Sürətlər qutusunun yağı, dəyişilməsi ilə birlikdə;ATF DSG  Bendix, Türkiyə.;ATF DSG;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
2095;更换燃油滤清器，使用新的滤清器和备用零件。;Replacing the fuel filter with a new one, along with a spare part;Yanacaq süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;319102H000 .Çin, Original;319102H000;Fuel filter;燃油滤清器;Fuel System;;China;New;Original;;;
2096;更换空气滤清器，包括一个新的和备用的。;Replacing the air filter with a new one, along with a spare part;Hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;281134H000 .Çin, Original;281134H000;Air filter;空气滤清器;Engine;;China;New;Original;;;
2097;更换火花塞时，使用新的火花塞和备用零件。;Replacing the spark plug with a new one, along with the spare part;Alışdırma şamının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1884011051. .Çin, Original;1884011051;Spark plug;火花塞;Engine;;China;New;Original;;;
2098;更换发动机皮带（链条），使用新的皮带和备用零件。;Replacing the engine belt (chain) with a new one, along with a spare part;Mühərrik qayışının (zəncirinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2432125000. .Çin, Original;2432125000;Engine timing chain;发动机正时链条;Engine;;China;New;Original;;;
2099;更换发动机支架，使用新的支架和备件。;Replacing the engine mount with a new one, along with the spare part;Mühərrik yastığının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;218124H200 .Çin, Original;218124H200;Engine mount;发动机支架;Engine;;China;New;Original;;;
2100;更换前刹车片（含备件）;Replacement of front brake pads with new ones, including spare parts;Ön əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;584014HA50 .Çin, Original;584014HA50;Front brake caliper;前制动卡钳;Brake System;;China;New;Original;;;
2101;更换后刹车片（含备件）;Replacement of rear brake pads with new ones, including spare parts;Arxa əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;583054HA00 .Çin, Original;583054HA00;Rear brake caliper;后制动卡钳;Brake System;;China;New;Original;;;
2102;更换冰箱（空调）的空气过滤器，包括更换新的过滤器和备用零件。;Replacing the air filter of the refrigerator (air conditioner) with a new one, along with a spare part;Soyuducunun (kondisionerin) hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;976174H000 .Çin, Original;976174H000;Air conditioning air filter;空调空气滤清器;Air Conditioning;;China;New;Original;;;
2103;更换冰箱（空调）压缩机，包括更换新压缩机和备件。;Replacement of the refrigerator (air conditioner) compressor with a new one, including spare parts;Soyuducunun (kondisionerin) kompressorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;977014H100 .Çin, Original;977014H100;Air conditioning compressor;空调压缩机;Air Conditioning;;China;New;Original;;;
2104;冰箱（空调）制冷剂（氟利昂）的填充量（克）;Filling of refrigerator (air conditioner) gas (freon) in grams;Soyuducunun (kondisionerin) qazının (freonun) qramla doldurulması;R134A  Xidmət.;R134A Xidmət;Air conditioning refrigerant (Freon);制冷剂;Air Conditioning;;China;New;Original;;;
2105;更换前减震器，包括备件。;Replacement of the front shock absorber with a new one, including the spare part;Ön amortizatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;546604H100 .Çin, Original;546604H100;Front shock absorber;前减震器;Suspension;;China;New;Original;;;
2106;更换后减震器，包括备件。;Replacement of the rear shock absorber with a new one, including the spare part;Arxa amortizatorun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;553004H100 .Çin, Original;553004H100;Rear shock absorber;后减震器;Suspension;;China;New;Original;;;
2107;更换前减震器，包括备件;Replacement of the front shock absorber with a new one, including spare parts;Ön amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;546104H000 .Çin, Original;546104H000;Front shock absorber mount;前减震器胶垫;Suspension;;China;New;Original;;;
2108;车轮定位调整（外倾角）;Wheel alignment adjustment (camber);Təkər çəpliyinin tənzimlənməsi (razval);XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
2109;诊断;Diagnostics;Diaqnostika;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
2110;更换凸轮轴位置传感器，包括备件。;Replacing the camshaft sensor with a new one, including spare parts;Paylayıcı valın (raspredvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3935025010. .Çin, Original;3935025010;Camshaft;凸轮轴;Engine / Internal Parts;;China;New;Original;;;
2111;更换曲轴位置传感器，使用新的传感器和备件。;Replacing the crankshaft sensor with a new one, along with the spare part;Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;391802C400 .Çin, Original;391802C400;Crankshaft;曲轴;Engine / Internal Parts;;China;New;Original;;;
2112;更换催化转化器传感器，包括备用零件。;Replacement of the catalyst sensor with a new one, along with the spare part;Katalizator sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;392102C100 .Çin, Original;392102C100;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;;China;New;Original;;;
2113;更换机油传感器，使用新的传感器和备件。;Replacing the oil sensor with a new one, along with the spare part;Yağ sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;397703C100 .Çin, Original;397703C100;Oil pressure sensor;机油压力传感器;Engine / Sensors;;China;New;Original;;;
2114;更换ABS传感器，使用新的传感器和备件。;Replacing the ABS sensor with a new one, along with the spare part;ABS sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;956704H200 .Çin, Original;956704H200;ABS sensor;ABS传感器;Braking System / Sensors;;China;New;Original;;;
2115;前支撑盘（aporn）更换，含备件;Front support disc (aporn) replacement, with spare part;Ön dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;517124H500 .Çin, Original;517124H500;Front brake disc;前刹车盘;Braking System;;China;New;Original;;;
2116;更换后支撑盘（aporn），包括备件;Replacement of the rear support disc (aporn), including spare part;Arxa dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;584114H00 .Çin, Original;584114H00;Rear brake disc;后刹车盘;Braking System;;China;New;Original;;;
2117;更换前后稳定杆橡胶件，包括备件;Replacement of front and rear stabilizer rubbers, including spare parts;Ön və arxa stabilizatorun rezinlərinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;548134H000 .Çin, Original;548134H000;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;;China;New;Original;;;
2118;右下臂置换，含备件;Lower right arm replacement, with spare part;Alt sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;545014H000 .Çin, Original;545014H000;Lower right control arm;右下控制臂;Suspension;;China;New;Original;;;
2119;左下臂置换，含备件;Lower left arm replacement, with spare part;Alt sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;545004H000 .Çin, Original;545004H000;Lower left control arm;左下控制臂;Suspension;;China;New;Original;;;
2120;更换下部皮带轮，包括备件;Replacement of the lower pulley, including spare part;Alt şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;545303J000 .Çin, Original;545303J000;Lower ball joint;下球头;Suspension;;China;New;Original;;;
2121;更换轮毂轴承（含备件）;Replacement of the hub bearing with a new one, including spare parts;Stupitsa diyircəkli yastığının (podşibnikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;517504H000 .Çin, Original;517504H000;Wheel hub bearing;轮毂轴承;Suspension / Wheel Assembly;;China;New;Original;;;
2122;用新的连杆（稳定杆）以及备件替换旧的连杆（稳定杆）。;Replacing the link (stabilizer bar) with a new one, along with the spare part;Linqin (stabilizatorun sırğası) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;548404H200 .Çin, Original;548404H200;Stabilizer link;稳定杆连接杆;Suspension;;China;New;Original;;;
2123;更换刹车软管，含备件;Brake hose replacement, with spare part;Əyləc şlanqlarının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;587374H000 .Çin, Original;587374H000;Brake hose;刹车软管;Braking System;;China;New;Original;;;
2124;更换前刹车支架，使用新的支架和备件。;Replacing the front brake support with a new one, along with the spare part;Ön əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;581804HA00 .Çin, Original;581804HA00;Front brake caliper;前刹车卡钳;Braking System;;China;New;Original;;;
